#,Company,Website,Category,General Contact Email,Email Type,HR Person Name,HR Person Title,HR Person Direct Email,LinkedIn Profile,Priority,Notes
1,Blink22,blink22.com,Web Dev,hello@blink22.com,contact,,,,,Medium,Send cold email; ask to forward to hiring manager
2,Shakuro,shakuro.com,Web/UX,hi@shakuro.com,contact,,,,,Medium,Send cold email
3,ExpandX,expandx.ae,Web Dev,info@expandx.ae,contact,,,,,High,Dubai-based
4,Digital Gravity,digitalgravity.ae,Web Dev,discover@digitalgravity.ae,contact,,,,,High,Dubai-based; email scraped from contact page ✅
5,Branex,branex.ae,Web Design,info@branex.ae,contact,,,,,High,Dubai-based
6,BI Communications,bicommunications.ae,Web Dev,info@bicommunications.ae,contact,,,,,High,Dubai-based
7,Synergy Labs,synergylabs.co,App Dev,hi@synergylabs.co,contact,,,,,Medium,Send cold email
8,7EDGE,7edge.com,Software Dev,hello@7edge.com,contact,,,,,Medium,Send cold email
9,GoodCore Software,goodcoresoft.com,Software Dev,hello@goodcoresoft.com,contact,,,,,Medium,Send cold email
10,Net Solutions,netsolutions.com,Web Dev,hello@netsolutions.com,contact,,,,,Medium,Send cold email
11,Webdew,webdew.com,Web Dev,info@webdew.com,contact,,,,,Medium,Send cold email
12,Intelivita,intelivita.com,App Dev,hello@intelivita.com,contact,,,,,Medium,Send cold email
13,Finoit Technologies,finoit.com,SaaS Dev,hello@finoit.com,contact,,,,,Medium,Send cold email
14,Simform,simform.com,Engineering,business@simform.com,contact,,,,,Medium,Send cold email
15,TechAhead,techaheadcorp.com,App Dev,info@techaheadcorp.com,contact,,,,,Medium,Send cold email
16,Appinventiv,appinventiv.com,App Dev,career@appinventiv.com,careers,,,,,Medium,DIRECT CAREER EMAIL scraped ✅
17,Mindinventory,mindinventory.com,App Dev,info@mindinventory.com,contact,,,,,Medium,Send cold email
18,Bacancy Technology,bacancytechnology.com,Web Dev,info@bacancytechnology.com,contact,,,,,Medium,Send cold email
19,Cubix,cubix.co,App/Game Dev,hello@cubix.co,contact,,,,,Medium,Send cold email
