#,Company,Email,Person,Title,Region,Notes
,Stay22,hello@stay22.com,Team,Contact,Other,"Growth List Mar-2026 funded co; Montréal, Canada; raised $122000000.0; Private Equity; email catchall"
,Triolith Games AB,magnus.soderberg@triolith.com,Team,Contact,Other,"Growth List Mar-2026 funded co; Jörn, Sweden; Pre-Seed; email valid"
,Green Pips Trading,ethan@greenpipstrading.com,Team,Contact,Other,"Growth List Mar-2026 funded co; Bristol, United Kingdom; Pre-Seed; email valid"
,Eezee,enquiry@eezee.com.sg,Team,Contact,Other,"Growth List Mar-2026 funded co; Singapore, Singapore; raised $5000000.0; Series B; email valid"
,Alnan Aluminium,Ningweili@alnan.com.cn,Team,Contact,Other,"Growth List Mar-2026 funded co; Nanning, China; Series B; email unknown"
,Sensera Systems,sales@senserasystems.com,Team,Contact,Other,"Growth List Mar-2026 funded co; Golden, United States; raised $27000000.0; Series B; email valid"
,Wyvern,info@wyvern.space,Team,Contact,Other,"Growth List Mar-2026 funded co; Edmonton, Canada; Venture - Series Unknown; email valid"
,VoiceLine,hello@getvoiceline.com,Team,Contact,Other,"Growth List Mar-2026 funded co; München, Germany; raised $11773571.0; Series A; email valid"
,Encord,hello@encord.com,Team,Contact,Other,"Growth List Mar-2026 funded co; San Francisco, United States; raised $60000000.0; Series C; email valid"
,Iron Sheepdog,info@isheepdog.com,Team,Contact,Other,"Growth List Mar-2026 funded co; Williamsburg, United States; raised $2746025.0; Venture - Series Unknown; email valid"
,Ettos,contacto@ettos.co,Team,Contact,Other,"Growth List Mar-2026 funded co; Medellín, Colombia; Seed; email valid"
,MatX,founders@matx.com,Team,Contact,Other,"Growth List Mar-2026 funded co; Mountain View, United States; raised $500000000.0; Series B; email valid"
,Elindus,info@elindus.be,Team,Contact,Other,"Growth List Mar-2026 funded co; Kortrijk, Belgium; Private Equity; email valid"
,Zapia AI,privacidad@brainlogic.ai,Team,Contact,Other,"Growth List Mar-2026 funded co; Menlo Park, United States; raised $6961364.0; Seed; email valid"
,PNDbotics,info@pndbotics.com,Team,Contact,Other,"Growth List Mar-2026 funded co; Ningbo, China; Seed; email unknown"
,RAS Luxury Oils,care@rasluxuryoils.com,Team,Contact,Other,"Growth List Mar-2026 funded co; Raipur, India; raised $7500000.0; Series B; email valid"
,ATTRAKT,general@theattrakt.com,Team,Contact,Other,"Growth List Mar-2026 funded co; Seoul, South Korea; Seed; email valid"
